US_Region,accidents,avg_severity,severe_rate
South,3081708,2.2130704790979547,0.19788182397553564
West,2222737,2.1930831222947202,0.18631489015569544
Northeast,849961,2.271268917044429,0.2372567682517198
Midwest,830822,2.34302052665914,0.3109980236440537
