Weather_Category,accidents,avg_severity,severe_rate
Clear,3044607,2.1999972410232256,0.18597014327300698
Cloudy,2899282,2.2511863282012583,0.23389963446122178
Rain / Storm,544109,2.266729644244076,0.24876081814489376
Fog / Mist,182997,2.191899320753892,0.17488811291988393
Other,167807,2.264416859844941,0.22897137783286753
Snow / Ice,145428,2.270828176142146,0.23170228566713424
Windy,608,2.195723684210526,0.17927631578947367
Dust / Sand,390,2.141025641025641,0.13846153846153847
